nome,codigo
Acesso Soluções de Pagamento S.A.,332
Advanced Corretora de Câmbio Ltda.,117
AGK Corretora de Câmbio S.A.,272
Albatross Corretora de Câmbio e Valores S.A,172
AMAGGI S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,349
Ativa Investimentos S.A. Corretora de Títulos Câmbio e Valores,188
Avista S.A. Crédito Financiamento e Investimento,280
Banco A. J. Renner S.A.,654
Banco ABC Brasil S.A.,246
Banco ABN Amro S.A.,75
Banco Agibank S.A.,121
Banco Alfa S.A.,25
Banco AndBank (Brasil) S.A.,65
Banco Arbi S.A.,213
Banco B3 S.A.,96
Banco Bandepe S.A.,24
Banco Bari de Investimentos e Financiamentos S.A,330
Banco BMG S.A.,318
Banco BNP Paribas Brasil S.A.,752
Banco Bocom BBM S.A.,107
Banco Bradescard S.A.,63
Banco Bradesco BBI S.A.,36
Banco Bradesco BERJ S.A.,122
Banco Bradesco Cartões S.A.,204
Banco Bradesco Financiamentos S.A.,394
Banco Bradesco S.A.,237
Banco BS2 S.A.,218
Banco BTG Pactual S.A.,208
Banco C6 S.A.,336
Banco Caixa Geral - Brasil S.A.,473
Banco Capital S. A.,412
Banco Cargill S.A.,40
Banco Cédula S.A.,266
Banco Cetelem S.A.,739
Banco Cifra S.A.,233
Banco Citibank S.A.,745
Banco Clássico S.A.,241
Banco Cooperativo do Brasil S/A - Bancoob,756
Banco Cooperativo Sicredi S. A.,748
Banco Credit Agrícole Brasil S.A.,222
Banco Credit Suisse (Brasil) S.A.,505
Banco Crefisa S.A.,69
Banco da Amazônia S.A.,3
Banco da China Brasil S.A.,83
Banco Daycoval S.A.,707
Banco de Brasília S.A.,70
Banco de la Nacion Argentina,300
Banco de La Provincia de Buenos Aires,495
Banco de La Republica Oriental del Uruguay,494
Banco do Brasil S.A.,1
Banco do Estado de Sergipe S.A.,47
Banco do Estado do Pará S.A.,37
Banco do Estado do Rio Grande do Sul S.A.,41
Banco do Nordeste do Brasil S.A.,4
Banco Fator S.A.,265
Banco Fibra S.A.,224
Banco Ficsa S. A.,626
Banco Finaxis S.A.,94
Banco Guanabara S.A.,612
Banco Inbursa S.A.,12
Banco Industrial do Brasil S.A.,604
Banco Indusval S. A.,653
Banco Inter S.A.,77
Banco Investcred Unibanco S.A.,249
Banco Itaú BBA S.A.,184
Banco Itaú Consignado S.A.,29
Banco ItauBank S.A.,479
