id,nome,descricao,equipe_gestora
1,ARTICULADOR DE EDUCAÇÃO TECNOLÓGICA,ARTICULADOR DE EDUCAÇÃO TECNOLÓGICA,0
2,AUX DE SERV GERAIS,AUX DE SERV GERAIS,0
3,AUX TEC ADMINISTRATIVO,AUX TEC ADMINISTRATIVO,0
4,AUXILIAR DE ATEND. EDUCACIONAL ESPEC.,AUXILIAR DE ATEND. EDUCACIONAL ESPEC.,0
5,AUXILIAR DE CRECHE,AUXILIAR DE CRECHE,0
6,DIGITADOR,DIGITADOR,0
7,INSTRUTOR DE FANFARRA,INSTRUTOR DE FANFARRA,0
8,JARDINEIRO,JARDINEIRO,0
9,MAE SOCIAL,MAE SOCIAL,0
10,MERENDEIRA,MERENDEIRA,0
11,RECREADOR,RECREADOR,0
12,ZELADOR,ZELADOR,0
13,AGENTE DE PORTARIA,AGENTE DE PORTARIA,0
14,INSTRUTOR DE LIBRAS,INSTRUTOR DE LIBRAS,0
15,AUXILIAR DE DISCIPLINA,AUXILIAR DE DISCIPLINA,0
16,PROFESSOR DE ATEND. EDUCACIONAL ESPEC.,PROFESSOR DE ATEND. EDUCACIONAL ESPEC.,0
17,SECRETARIO ESCOLAR,SECRETARIO ESCOLAR,0
18,GESTOR ESCOLAR,GESTOR ESCOLAR,1
19,COORDENADOR PEDAGÓGICO,COORDENADOR PEDAGÓGICO,0
20,VICE-GESTOR,VICE-GESTOR,1
21,PROFESSOR,PROFESSOR,0
22,AGENTE DE SEGURANÇA ESCOLAR,AGENTE DE SEGURANÇA ESCOLAR,0
