id,nome,distrito_id
1,Água Bela,2043
2,Alagadiço,2043
3,Alto da Aliança,2043
4,Alto da Maravilha,2043
5,Alto do Alencar,2043
6,Alto do Cruzeiro,2043
7,Angary,2043
8,Antônio Conselheiro,2043
9,Antônio Guilhermino,2043
10,Argemiro,2043
11,Cajueiro,2043
12,Campus Universitário,2043
13,Castelo Branco,2043
14,Centenário,2043
15,Centro,2043
16,Coréia,2043
17,Country Club,2043
18,Distrito Industrial,2043
19,Dom José Rodrigues,2043
20,Dom Tomaz,2043
21,Esperança,2043
22,Itaberaba,2043
23,Jardim Flórida,2043
24,Jardim Novo Encontro,2043
25,Jardim Primavera,2043
26,Jardim São Paulo,2043
27,Jardim Universitário,2043
28,Jardim Vitória,2043
29,João Paulo II,2043
30,João XXIII,2043
31,Juazeiro (geral),2043
32,Lomanto Júnior,2043
33,Malhada da Areia,2043
34,Maringá,2043
35,Monte Castelo,2043
36,Mussumbê,2043
37,Nossa Senhora da Penha,2043
38,Nossa Senhora das Grotas,2043
39,Nova Juazeiro,2043
43,Padre Vicente,2043
51,Palmares,2043
52,Parque Centenário,2043
53,Parque Residencial,2043
54,Pedra do Lord,2043
55,Pedro Raimundo,2043
56,Piranga,2043
57,Piranga I,2043
58,Piranga II,2043
59,Quidé,2043
60,Residencial São Francisco,2043
61,Santa Maria Goretti,2043
62,Santo Antônio,2043
63,São Geraldo,2043
64,Sol Levante,2043
65,Tabuleiro,2043
66,Tancredo Neves,2043
67,Usina Aliança,2043
68,Vila Caxangá,2043
69,Vila Nova Fé,2043
70,Vila Tiradentes,2043
