id;nome;codigo;situacao;cat_administrativa;dep_administrativa;cep;bairro_id;endereco;zona;lat;long;Telefone;email;extensao;porte
1;CM DE TEMPO INTEGRAL CIVICO-MILITAR CAIC MISAEL AGUILAR;29362415;Ativa;Publica;Municipal;48916-773;;RUA DOM LUCAS MOREIRA NEVES, S/N ANTONIO CONSELHEIRO.;Urbana;-9.44172;-40.51409333;(74) 988170630;;NÃO;Entre 501 e 1000 matrículas de escolarização
2;EM 02 DE JULHO;29024935;Ativa;Publica;Municipal;48921-000;;AVENIDA DOS COLONOS, MANICOBA NH 1.;Rural;;;(74) 988242009;;NÃO;Entre 501 e 1000 matrículas de escolarização
3;EM 15 DE JULHO;29024994;Ativa;Publica;Municipal;48921-000;;LOCALIDADE RUA DA BIS/NAGA S/N, PREDIO. PROJETO MANICOBA NH II.;Rural;-9.282946028;-40.28287411;;;NÃO;Entre 501 e 1000 matrículas de escolarização
4;EM 25 DE JULHO;29026130;Ativa;Publica;Municipal;48923-000;;MANDACARU I, S/N ZONA RURAL.;Rural;;;(74) 88068024;;NÃO;Entre 201 e 500 matrículas de escolarização
5;EM AMERICO TANURI - JUNCO;29026601;Ativa;Publica;Municipal;48922-200;;POVOADO GOIABEIRA 1, S/N SALITRE.;Rural;-9.80525502;-40.61377237;;;NÃO;Até 50 matrículas de escolarização
6;EM AMERICO TANURI - MANICOBA;29026148;Ativa;Publica;Municipal;48921-000;;POVOADO LAGOA DA PEDRA, S/N MANICOBA.;Rural;-9.334298333;-40.24413167;(74) 36123354;;NÃO;Até 50 matrículas de escolarização
7;EM ANALIA BARBOSA DE SOUZA;29341256;Ativa;Publica;Municipal;48913-642;;AVENIDA AVENIDA CHEFFY KHOURY, ESCOLA. ANTONIO GUILHERMINO.;Urbana;-9.46465875;-40.49610734;(74) 91552384;;NÃO;Entre 501 e 1000 matrículas de escolarização
8;EM ANTONIO FRANCISCO DE OLIVEIRA;29026482;Ativa;Publica;Municipal;48922-200;;GOIABEIRA II, S/N PREDIO. SALITRE.;Rural;-9.813363;-40.60178;(74) 36123354;;NÃO;Entre 201 e 500 matrículas de escolarização
9;EM ARGEMIRO JOSE DA CRUZ;29429536;Ativa;Publica;Municipal;48916-407;;AVENIDA AVENIDA DO CRUZEIRO, 15 ARGEMIRO.;Urbana;-9.438686667;-40.51861167;(74) 36110018;;NÃO;Entre 501 e 1000 matrículas de escolarização
10;EM BOM JESUS - BARAUNA ITAMOTINGA;29026156;Ativa;Publica;Municipal;48923-000;;FAZENDA BARAUNA, S/N ITAMOTINGA.;Rural;-9.328824165;-39.99959059;(74) 36187055;;NÃO;Até 50 matrículas de escolarização
